read_id	true_pos	found_pos	mismatch	status
0	374529	374529	0	correct
1	796519	796519	0	correct
2	950686	950686	1	correct
3	183429	183429	0	correct
4	731972	731972	0	correct
5	779668	779668	0	correct
6	598641	598641	0	correct
7	596832	596832	0	correct
8	156014	156014	0	correct
9	445819	445819	0	correct
10	155989	155989	0	correct
11	99972	99972	0	correct
12	58081	58081	0	correct
13	459235	459235	0	correct
14	866151	866151	0	correct
15	333698	333698	0	correct
16	601097	601097	0	correct
17	142862	142862	0	correct
18	708052	708052	0	correct
19	650869	650869	0	correct
20	20583	20583	0	correct
21	56409	56409	0	correct
22	969881	969881	0	correct
23	721977	721977	1	correct
24	832418	832418	0	correct
25	938525	938525	0	correct
26	212332	212332	0	correct
27	778	778	0	correct
28	181819	181819	0	correct
29	992182	883760	0	wrong
30	183399	183399	0	correct
31	617463	617463	0	correct
32	304233	304233	0	correct
33	611635	611635	0	correct
34	524741	524741	0	correct
35	7066	7066	0	correct
36	431932	431932	0	correct
37	23061	23061	0	correct
38	291220	291220	0	correct
39	524759	524759	0	correct
40	611835	611835	0	correct
41	399849	399849	0	correct
42	139489	139489	0	correct
43	46664	46664	0	correct
44	292136	292136	0	correct
45	973727	973727	0	correct
46	366351	366351	0	correct
47	232764	232764	0	correct
48	456056	456056	1	correct
49	90603	90603	0	correct
50	785153	785153	0	correct
51	618368	618368	0	correct
52	199667	199667	0	correct
53	382450	382450	0	correct
54	514219	878835	0	wrong
55	983202	983202	0	correct
56	592397	592397	0	correct
57	466749	466749	0	correct
58	46449	46449	0	correct
59	859915	859915	0	correct
60	607527	607527	0	correct
61	680287	680287	0	correct
62	170519	170519	0	correct
63	450486	450486	0	correct
64	65049	65049	0	correct
65	13264	13264	0	correct
66	948858	948858	0	correct
67	942174	942174	0	correct
68	965604	965604	0	correct
69	563271	563271	0	correct
70	808373	808373	0	correct
71	385405	385405	0	correct
72	304604	304604	0	correct
73	15965	15965	0	correct
74	97669	97669	0	correct
75	230887	230887	0	correct
76	684213	684213	0	correct
77	241018	241018	0	correct
78	440139	440139	0	correct
79	683243	683243	0	correct
80	122034	122034	0	correct
81	609978	609978	0	correct
82	495162	495162	0	correct
83	833170	833170	0	correct
84	34387	34387	0	correct
85	173359	173359	0	correct
86	909294	909294	0	correct
87	391049	391049	0	correct
88	258772	258772	1	correct
89	182230	182230	0	correct
90	662503	662503	0	correct
91	755339	755339	0	correct
92	311702	311702	0	correct
93	425143	425143	0	correct
94	520052	520052	0	correct
95	207935	207935	0	correct
96	546694	546694	0	correct
97	567683	567683	0	correct
98	184849	184849	0	correct
99	31312	31312	0	correct
100	969556	969556	0	correct
101	842260	842260	0	correct
102	775110	775110	0	correct
103	449741	449741	0	correct
104	939471	939471	0	correct
105	395138	395138	0	correct
106	894801	894801	0	correct
107	926631	926631	0	correct
108	597882	597882	0	correct
109	727250	727250	0	correct
110	921847	921847	0	correct
111	326531	326531	0	correct
112	88489	88489	0	correct
113	570427	570427	0	correct
114	195977	195977	0	correct
115	520819	520819	0	correct
116	45225	45225	0	correct
117	961144	961144	0	correct
118	325320	325320	0	correct
119	844509	844509	0	correct
120	388666	388666	0	correct
121	747298	747298	0	correct
122	271341	271341	0	correct
123	539676	539676	0	correct
124	828713	828713	0	correct
125	586734	586734	0	correct
126	356742	356742	0	correct
127	965227	965227	1	correct
128	280926	280926	0	correct
129	607016	607016	0	correct
130	542680	542680	0	correct
131	275991	275991	0	correct
132	140920	140920	0	correct
133	296264	296264	0	correct
134	802173	802173	0	correct
135	165262	165262	0	correct
136	74548	74548	0	correct
137	15635	15635	0	correct
138	986858	871881	0	wrong
139	423389	423389	0	correct
140	772222	772222	0	correct
141	394870	394870	0	correct
142	198709	198709	0	correct
143	293479	293479	0	correct
144	5521	5521	0	correct
145	14079	14079	0	correct
146	815437	815437	0	correct
147	198836	198836	0	correct
148	706836	706836	0	correct
149	711321	711321	0	correct
150	728986	728986	0	correct
151	790152	790152	0	correct
152	771247	771247	0	correct
153	605942	605942	0	correct
154	74042	74042	0	correct
155	926274	926274	0	correct
156	358455	358455	0	correct
157	651058	992281	0	wrong
158	115865	115865	0	correct
159	914933	914933	0	correct
160	863078	863078	0	correct
161	850013	850013	0	correct
162	623280	623280	0	correct
163	449437	449437	0	correct
164	330888	330888	0	correct
165	95407	95407	0	correct
166	63556	63556	0	correct
167	370807	370807	0	correct
168	310973	310973	0	correct
169	668821	668821	1	correct
170	325173	325173	0	correct
171	665903	665903	0	correct
172	729585	729585	0	correct
173	591280	591280	0	correct
174	637538	637538	0	correct
175	274713	274713	1	correct
176	887187	887187	0	correct
177	561227	561227	0	correct
178	472201	472201	0	correct
179	382915	382915	0	correct
180	119590	119590	0	correct
181	971683	971683	1	correct
182	713224	713224	0	correct
183	848889	848889	0	correct
184	760762	760762	0	correct
185	721708	721708	0	correct
186	561260	561260	0	correct
187	235978	235978	1	correct
188	770944	770944	0	correct
189	256060	256060	0	correct
190	493781	493781	0	correct
191	40432	40432	0	correct
192	522717	522717	0	correct
193	710642	710642	0	correct
194	427528	427528	0	correct
195	110887	110887	0	correct
196	25418	25418	0	correct
197	439323	439323	0	correct
198	107888	107888	0	correct
199	201713	201713	0	correct
200	31428	31428	0	correct
201	895737	895737	0	correct
202	636391	636391	0	correct
203	475356	475356	0	correct
204	314346	314346	0	correct
205	563259	563259	0	correct
206	508555	508555	0	correct
207	695495	695495	0	correct
208	907540	907540	1	correct
209	139327	139327	0	correct
210	249285	249285	0	correct
211	604399	604399	0	correct
212	410371	410371	0	correct
213	539825	539825	0	correct
214	755529	755529	0	correct
215	203055	203055	0	correct
216	228791	228791	0	correct
217	942826	942826	0	correct
218	76977	76977	0	correct
219	598848	598848	0	correct
220	289743	289743	0	correct
221	694764	694764	1	correct
222	161216	161216	0	correct
223	880442	647641	0	wrong
224	929670	929670	0	correct
225	624335	624335	0	correct
226	808096	808096	0	correct
227	295625	295625	0	correct
228	633385	633385	0	correct
229	105491	105491	0	correct
230	871435	871435	0	correct
231	456521	456521	0	correct
232	803648	803648	0	correct
233	218434	218434	0	correct
234	186564	186564	0	correct
235	416497	416497	0	correct
236	892533	892533	0	correct
237	883254	650453	0	wrong
238	539326	539326	0	correct
239	324335	324335	0	correct
240	807416	807416	0	correct
241	122084	122084	0	correct
242	896065	896065	0	correct
243	356287	356287	0	correct
244	317994	317994	0	correct
245	906802	906802	0	correct
246	110048	110048	0	correct
247	272124	272124	0	correct
248	227928	227928	0	correct
249	647671	647671	0	correct
250	427095	427095	1	correct
251	520	520	0	correct
252	817991	817991	0	correct
253	352558	352558	0	correct
254	860705	860705	0	correct
255	304772	304772	0	correct
256	6951	6951	0	correct
257	164651	164651	0	correct
258	510732	510732	0	correct
259	534073	534073	0	correct
260	417398	417398	0	correct
261	484815	484815	0	correct
262	222101	222101	0	correct
263	692415	692415	0	correct
264	119861	119861	0	correct
265	269404	269404	0	correct
266	337605	337605	0	correct
267	244118	244118	0	correct
268	942882	942882	0	correct
269	168286	168286	0	correct
270	323193	323193	0	correct
271	218757	218757	0	correct
272	518775	518775	0	correct
273	558085	558085	0	correct
274	702998	702998	0	correct
275	403824	403824	0	correct
276	363619	363619	0	correct
277	64890	64890	0	correct
278	971753	971753	0	correct
279	253908	253908	0	correct
280	962419	962419	0	correct
281	246868	246868	0	correct
282	251774	251774	0	correct
283	696284	696284	0	correct
284	497234	497234	0	correct
285	712249	712249	1	correct
286	300869	300869	0	correct
287	148082	148082	0	correct
288	284832	284832	0	correct
289	997711	997711	0	correct
290	36885	36885	0	correct
291	266773	266773	0	correct
292	609546	609546	0	correct
293	976586	976586	0	correct
294	502664	502664	0	correct
295	411025	411025	0	correct
296	51477	51477	0	correct
297	33049	33049	0	correct
298	278638	278638	0	correct
299	345061	345061	0	correct
300	908239	908239	0	correct
301	634332	634332	0	correct
302	239554	239554	0	correct
303	680685	680685	0	correct
304	144890	144890	0	correct
305	530919	534804	0	wrong
306	489438	489438	0	correct
307	447770	447770	0	correct
308	985621	876271	0	wrong
309	552877	552877	0	correct
310	242048	242048	0	correct
311	592679	592679	0	correct
312	672116	672116	0	correct
313	80850	80850	0	correct
314	761597	761597	0	correct
315	369643	369643	0	correct
316	237630	237630	0	correct
317	242152	242152	0	correct
318	728195	728195	0	correct
319	803116	803116	0	correct
320	367772	367772	0	correct
321	470286	470286	0	correct
322	632287	632287	0	correct
323	983394	983394	0	correct
324	633511	633511	0	correct
325	398812	398812	0	correct
326	535759	531874	0	wrong
327	816408	816408	0	correct
328	90287	90287	0	correct
329	798321	798321	0	correct
330	835278	835278	0	correct
331	150713	150713	0	correct
332	320770	320770	0	correct
333	508184	508184	0	correct
334	186513	186513	0	correct
335	695792	695792	0	correct
336	40773	40773	0	correct
337	858333	858333	0	correct
338	590875	590875	0	correct
339	325949	325949	0	correct
340	677544	677544	0	correct
341	220234	220234	0	correct
342	16587	16587	0	correct
343	711128	711128	0	correct
344	512078	512078	0	correct
345	809477	809477	0	correct
346	226489	226489	0	correct
347	348655	348655	0	correct
348	645154	802732	0	wrong
349	96173	96173	0	correct
350	174361	174361	0	correct
351	940495	940495	0	correct
352	690917	690917	0	correct
353	397560	397560	0	correct
354	386724	386724	0	correct
355	517736	517736	0	correct
356	936702	936702	0	correct
357	837685	837685	0	correct
358	137516	137516	0	correct
359	675670	675670	0	correct
360	341056	341056	0	correct
361	735194	735194	0	correct
362	113470	113470	0	correct
363	209065	209065	0	correct
364	924666	924666	0	correct
365	541432	541432	0	correct
366	877313	877313	0	correct
367	695764	695764	0	correct
368	257934	257934	0	correct
369	228543	228543	0	correct
370	659964	659964	0	correct
371	174949	174949	0	correct
372	817198	817198	0	correct
373	982139	982139	0	correct
374	555184	555184	0	correct
375	516620	516620	0	correct
376	529635	529635	0	correct
377	260821	260821	0	correct
378	241845	241845	0	correct
379	996224	996224	0	correct
380	93100	93100	0	correct
381	965391	965391	0	correct
382	897189	897189	0	correct
383	558277	558277	0	correct
384	900391	900391	0	correct
385	882610	882610	0	correct
386	633083	633083	0	correct
387	188701	188701	0	correct
388	339019	339019	0	correct
389	278863	278863	0	correct
390	349199	349199	0	correct
391	700337	700337	0	correct
392	725934	725934	0	correct
393	846636	846636	0	correct
394	897084	897084	0	correct
395	856299	856299	0	correct
396	887060	887060	0	correct
397	404496	404496	0	correct
398	779852	779852	0	correct
399	887744	887744	0	correct
400	642013	642013	0	correct
401	850903	850903	0	correct
402	84137	84137	0	correct
403	935607	935607	0	correct
404	161624	161624	0	correct
405	785317	785317	0	correct
406	898528	898528	0	correct
407	668968	668968	0	correct
408	606411	606411	0	correct
409	580669	580669	0	correct
410	9196	9196	0	correct
411	372271	372271	1	correct
412	101468	101468	0	correct
413	940106	940106	0	correct
414	663482	663482	0	correct
415	973635	973635	0	correct
416	5061	5061	0	correct
417	283912	283912	0	correct
418	160803	160803	0	correct
419	305355	305355	0	correct
420	548717	548717	0	correct
421	485599	485599	0	correct
422	691875	691875	0	correct
423	448411	448411	0	correct
424	651942	651942	0	correct
425	994428	994428	0	correct
426	224262	224262	0	correct
427	175920	175920	0	correct
428	712158	712158	0	correct
429	18074	18074	0	correct
430	237242	237242	0	correct
431	493879	493879	0	correct
432	325390	325390	0	correct
433	178817	178817	0	correct
434	746469	746469	0	correct
435	366458	366458	0	correct
436	649614	649614	0	correct
437	744148	744148	0	correct
438	849198	849198	0	correct
439	720919	720919	0	correct
440	657593	657593	0	correct
441	308051	308051	0	correct
442	568292	568292	0	correct
443	542524	542524	0	correct
444	93672	93672	0	correct
445	508799	508799	0	correct
446	367705	367705	0	correct
447	636314	636314	0	correct
448	265194	265194	0	correct
449	250454	250454	0	correct
450	243982	243982	0	correct
451	589853	589853	0	correct
452	972982	972982	0	correct
453	978864	978864	0	correct
454	393086	393086	0	correct
455	486728	486728	0	correct
456	892020	892020	0	correct
457	906072	906072	0	correct
458	631120	631120	0	correct
459	434381	434381	0	correct
460	794788	794788	0	correct
461	350068	350068	0	correct
462	502622	502622	0	correct
463	645084	645084	0	correct
464	576887	576887	0	correct
465	668904	668904	0	correct
466	492503	492503	0	correct
467	864142	864142	0	correct
468	195237	195237	0	correct
469	230178	230178	0	correct
470	722431	722431	0	correct
471	499178	499178	0	correct
472	280764	280764	0	correct
473	571987	571987	1	correct
474	24315	24315	0	correct
475	768531	768531	0	correct
476	645453	645453	0	correct
477	43602	43602	0	correct
478	177105	177105	0	correct
479	994521	994521	0	correct
480	940431	940431	0	correct
481	469930	469930	0	correct
482	953900	953900	0	correct
483	279552	279552	0	correct
484	914837	914837	1	correct
485	883468	650667	0	wrong
486	370147	370147	0	correct
487	747697	747697	0	correct
488	15456	15456	0	correct
489	953044	953044	0	correct
490	928291	928291	0	correct
491	330740	330740	0	correct
492	428171	428171	0	correct
493	552748	552748	0	correct
494	966626	966626	0	correct
495	572275	572275	0	correct
496	963592	963592	0	correct
497	980303	980303	0	correct
498	852984	852984	0	correct
499	75344	75344	0	correct
500	294440	294440	0	correct
501	305688	305688	0	correct
502	385086	385086	0	correct
503	190905	190905	0	correct
504	851111	851111	0	correct
505	268467	268467	0	correct
506	316912	316912	0	correct
507	485265	485265	0	correct
508	169487	169487	0	correct
509	372676	372676	0	correct
510	556785	556785	0	correct
511	394680	394680	0	correct
512	936127	936127	0	correct
513	844188	844188	0	correct
514	696009	696009	0	correct
515	929989	929989	0	correct
516	570044	570044	0	correct
517	70414	70414	0	correct
518	97173	97173	0	correct
519	208912	208912	0	correct
520	614989	614989	0	correct
521	671124	671124	0	correct
522	990025	648802	0	wrong
523	358636	358636	0	correct
524	140079	140079	0	correct
525	254156	254156	0	correct
526	518314	518314	0	correct
527	295282	295282	0	correct
528	877347	877347	0	correct
529	322541	322541	0	correct
530	740747	740747	0	correct
531	848645	848645	0	correct
532	696995	696995	0	correct
533	136617	136617	0	correct
534	702463	702463	0	correct
535	708890	708890	0	correct
536	359480	359480	0	correct
537	552803	552803	0	correct
538	293583	293583	0	correct
539	296501	296501	0	correct
540	809337	809337	0	correct
541	419768	419768	0	correct
542	810089	810089	0	correct
543	256199	256199	0	correct
544	867047	867047	0	correct
545	611495	611495	0	correct
